"Rate","Quantity","Discount","Item Name","Sales Amount","Net Sales","Month","Date","Discount_per_unit","Year","id"
173.56,60,275.40,Signature Choco Fantasy,10413.6,10138.2,,"2023-01-01",4.590000,,1
180.56,53,55.12,Classic New York Cheesecake,9569.68,9514.56,,"2023-01-01",1.040000,,2
172.51,68,228.48,Tandoori Chicken Double Decker Sandwich,11730.68,11502.2,,"2023-01-01",3.360000,,3
173.56,51,234.09,Signature Choco Fantasy,8851.56,8617.47,,"2023-01-01",4.590000,,4
141.44,60,198.60,Cheese Tomato Croissant Sliders,8486.4,8287.8,,"2023-01-14",3.310000,,5
231.91,25,96.75,Cafe Mocha,5797.75,5701.0,,"2023-01-01",3.870000,,6
223.30,23,71.76,Plant Milk Frappe-Oat,5135.9,5064.139999999999,,"2023-01-01",3.120000,,7
140.51,36,141.84,Cafe Americano Strong,5058.36,4916.5199999999995,,"2023-01-01",3.940000,,8
143.24,85,219.30,Tiramisu Affogato,12175.4,11956.1,,"2023-01-05",2.580000,,9
182.12,21,86.73,Irish Coffee,3824.52,3737.79,,"2023-01-14",4.130000,,10
252.24,22,20.24,Hazelnut Brownie,5549.28,5529.04,,"2023-01-14",0.920000,,11
147.64,57,117.42,Irish Cappuccino,8415.48,8298.06,,"2023-01-14",2.060000,,12
180.56,30,31.20,Classic New York Cheesecake,5416.8,5385.6,,"2023-01-23",1.040000,,13
195.41,26,76.18,Plant Milk Frappe-Coconut,5080.66,5004.48,,"2023-01-23",2.930000,,14
233.02,12,55.56,Filter Coffee,2796.24,2740.68,,"2023-01-23",4.630000,,15
195.41,18,52.74,Plant Milk Frappe-Coconut,3517.38,3464.6400000000003,,"2023-01-23",2.930000,,16
115.23,28,113.12,Vietnamese Iced Coffee,3226.44,3113.32,,"2023-01-23",4.040000,,17
233.45,19,73.72,Honey Cinnamon Coffee,4435.55,4361.83,,"2023-01-23",3.880000,,18
204.53,20,34.40,Cafe Americano Regular,4090.6,4056.2,,"2023-01-23",1.720000,,19
233.45,20,77.60,Honey Cinnamon Coffee,4669.0,4591.4,,"2023-01-23",3.880000,,20
146.26,8,4.64,Classic Hot Fudge Sundae,1170.08,1165.4399999999998,,"2023-01-23",0.580000,,21
147.64,27,55.62,Irish Cappuccino,3986.28,3930.6600000000003,,"2023-01-24",2.060000,,22
167.97,19,21.85,Smoked Chicken Double Decker Sandwich,3191.43,3169.58,,"2023-01-24",1.150000,,23
147.59,16,37.76,Soya Cappuccino King,2361.44,2323.68,,"2023-01-14",2.360000,,24
140.51,79,311.26,Cafe Americano Strong,11100.29,10789.03,,"2023-01-14",3.940000,,25
185.05,47,193.17,Croissant,8697.35,8504.18,,"2023-01-14",4.110000,,26
167.97,83,95.45,Smoked Chicken Double Decker Sandwich,13941.51,13846.06,,"2023-01-14",1.150000,,27
210.85,51,144.33,Red Velvet Cake,10753.35,10609.02,,"2023-01-14",2.830000,,28
109.07,88,110.88,Cafe Latte King,9598.16,9487.28,,"2023-01-14",1.260000,,29
223.30,7,21.84,Plant Milk Frappe-Oat,1563.1,1541.26,,"2023-01-15",3.120000,,30
145.80,39,75.66,Hazelnut Latte,5686.2,5610.54,,"2023-01-01",1.940000,,31
143.24,59,152.22,Tiramisu Affogato,8451.16,8298.94,,"2023-01-01",2.580000,,32
225.70,42,199.92,Chilli Cheese Toast,9479.4,9279.48,,"2023-01-01",4.760000,,33
231.91,6,23.22,Cafe Mocha,1391.46,1368.24,,"2023-01-01",3.870000,,34
109.74,57,214.89,Salted Caramel Cappuccino,6255.18,6040.29,,"2023-01-05",3.770000,,35
109.07,85,107.10,Cafe Latte King,9270.95,9163.85,,"2023-01-05",1.260000,,36
174.70,66,80.52,Irish Affogato,11530.2,11449.68,,"2023-01-05",1.220000,,37
239.31,9,31.41,Paneer Tikka Sandwich,2153.79,2122.38,,"2023-01-15",3.490000,,38
190.93,14,26.46,Classic Affogato,2673.02,2646.56,,"2023-01-15",1.890000,,39
237.94,3,9.06,Choco Nirvana Sundae,713.82,704.7600000000001,,"2023-01-15",3.020000,,40
195.26,25,71.00,Adrak Wali Chai,4881.5,4810.5,,"2023-01-15",2.840000,,41
104.69,40,38.00,Spicy Mango Slush,4187.6,4149.6,,"2023-01-15",0.950000,,42
195.26,20,56.80,Adrak Wali Chai,3905.2,3848.3999999999996,,"2023-01-15",2.840000,,43
226.41,24,106.56,Peri Peri Garlic Bread,5433.84,5327.28,,"2023-01-15",4.440000,,44
147.59,10,23.60,Soya Cappuccino King,1475.9,1452.3000000000002,,"2023-01-15",2.360000,,45
239.31,4,13.96,Paneer Tikka Sandwich,957.24,943.28,,"2023-01-15",3.490000,,46
172.51,28,94.08,Tandoori Chicken Double Decker Sandwich,4830.28,4736.2,,"2023-01-15",3.360000,,47
251.37,9,39.15,Gooey Fudgy Brownie Sundae,2262.33,2223.18,,"2023-01-15",4.350000,,48
237.94,18,54.36,Choco Nirvana Sundae,4282.92,4228.56,,"2023-01-15",3.020000,,49
245.97,12,35.04,Vanilla Latte Regular,2951.64,2916.6,,"2023-01-15",2.920000,,50
109.07,40,50.40,Cafe Latte King,4362.8,4312.400000000001,,"2023-01-15",1.260000,,51
148.51,31,44.33,White Mocha,4603.81,4559.4800000000005,,"2023-01-15",1.430000,,52
223.30,16,49.92,Plant Milk Frappe-Oat,3572.8,3522.88,,"2023-01-15",3.120000,,53
231.91,3,11.61,Cafe Mocha,695.73,684.12,,"2023-01-15",3.870000,,54
143.24,21,54.18,Tiramisu Affogato,3008.04,2953.86,,"2023-01-15",2.580000,,55
195.41,36,105.48,Plant Milk Frappe-Coconut,7034.76,6929.280000000001,,"2023-01-15",2.930000,,56
145.80,21,40.74,Hazelnut Latte,3061.8,3021.0600000000004,,"2023-01-15",1.940000,,57
239.31,4,13.96,Paneer Tikka Sandwich,957.24,943.28,,"2023-01-16",3.490000,,58
195.26,16,45.44,Adrak Wali Chai,3124.16,3078.72,,"2023-01-16",2.840000,,59
206.34,27,109.89,Paneer Tikka Double Decker Sandwich,5571.18,5461.29,,"2023-01-16",4.070000,,60
239.31,23,80.27,Paneer Tikka Sandwich,5504.13,5423.86,,"2023-01-16",3.490000,,61
130.23,35,147.70,Caramel Affogato,4558.05,4410.35,,"2023-01-16",4.220000,,62
109.07,41,51.66,Cafe Latte King,4471.87,4420.21,,"2023-01-16",1.260000,,63
237.94,8,24.16,Choco Nirvana Sundae,1903.52,1879.36,,"2023-01-16",3.020000,,64
237.94,17,51.34,Choco Nirvana Sundae,4044.98,3993.64,,"2023-01-16",3.020000,,65
173.56,28,128.52,Signature Choco Fantasy,4859.68,4731.16,,"2023-01-16",4.590000,,66
231.91,18,69.66,Cafe Mocha,4174.38,4104.72,,"2023-01-16",3.870000,,67
106.80,27,46.98,Dutch Truffle Cake,2883.6,2836.62,,"2023-01-16",1.740000,,68
147.59,24,56.64,Soya Cappuccino King,3542.16,3485.52,,"2023-01-16",2.360000,,69
125.37,12,27.36,Death By Chocolate Sundae,1504.44,1477.0800000000002,,"2023-01-16",2.280000,,70
89.48,59,217.12,Hazelnut Affogato,5279.32,5062.2,,"2023-01-16",3.680000,,71
147.64,6,12.36,Irish Cappuccino,885.84,873.48,,"2023-01-16",2.060000,,72
241.92,8,37.36,Butterscotch Crunch Cake,1935.36,1898.0,,"2023-01-16",4.670000,,73
132.68,14,35.70,Cappuccino King,1857.52,1821.82,,"2023-01-16",2.550000,,74
99.79,25,22.75,Cappuccino Regular,2494.75,2472.0,,"2023-01-16",0.910000,,75
206.17,5,13.20,Smoked Chicken Sandwich,1030.85,1017.6499999999999,,"2023-01-16",2.640000,,76
182.49,9,31.59,Flat White,1642.41,1610.8200000000002,,"2023-01-16",3.510000,,77
223.30,18,56.16,Plant Milk Frappe-Oat,4019.4,3963.2400000000002,,"2023-01-16",3.120000,,78
175.70,25,38.25,Irish Latte,4392.5,4354.25,,"2023-01-16",1.530000,,79
145.80,9,17.46,Hazelnut Latte,1312.2,1294.74,,"2023-01-16",1.940000,,80
146.26,26,15.08,Classic Hot Fudge Sundae,3802.76,3787.6800000000003,,"2023-01-17",0.580000,,81
115.23,20,80.80,Vietnamese Iced Coffee,2304.6,2223.7999999999997,,"2023-01-17",4.040000,,82
223.30,27,84.24,Plant Milk Frappe-Oat,6029.1,5944.860000000001,,"2023-01-17",3.120000,,83
160.93,9,24.57,Hazelnut Cappuccino,1448.37,1423.8,,"2023-01-17",2.730000,,84
160.93,17,46.41,Hazelnut Cappuccino,2735.81,2689.4,,"2023-01-17",2.730000,,85
195.26,15,42.60,Adrak Wali Chai,2928.9,2886.3,,"2023-01-17",2.840000,,86
174.70,33,40.26,Irish Affogato,5765.1,5724.84,,"2023-01-17",1.220000,,87
165.86,12,8.76,Sizzle My Brownie Sundae,1990.32,1981.56,,"2023-01-17",0.730000,,88
89.48,22,80.96,Hazelnut Affogato,1968.56,1887.6,,"2023-01-17",3.680000,,89
155.00,13,51.48,Elaichi Chai,2015.0,1963.52,,"2023-01-17",3.960000,,90
206.34,22,89.54,Paneer Tikka Double Decker Sandwich,4539.48,4449.94,,"2023-01-17",4.070000,,91
239.31,21,73.29,Paneer Tikka Sandwich,5025.51,4952.22,,"2023-01-17",3.490000,,92
115.23,60,242.40,Vietnamese Iced Coffee,6913.8,6671.400000000001,,"2023-01-17",4.040000,,93
141.44,25,82.75,Cheese Tomato Croissant Sliders,3536.0,3453.25,,"2023-01-17",3.310000,,94
231.91,16,61.92,Cafe Mocha,3710.56,3648.64,,"2023-01-17",3.870000,,95
147.64,18,37.08,Irish Cappuccino,2657.52,2620.44,,"2023-01-17",2.060000,,96
233.02,11,50.93,Filter Coffee,2563.22,2512.29,,"2023-01-17",4.630000,,97
150.19,9,18.63,Frappe Lite,1351.71,1333.08,,"2023-01-17",2.070000,,98
226.41,27,119.88,Peri Peri Garlic Bread,6113.07,5993.19,,"2023-01-18",4.440000,,99
167.97,26,29.90,Smoked Chicken Double Decker Sandwich,4367.22,4337.320000000001,,"2023-01-18",1.150000,,100
228.98,9,23.76,Chocolate Croissant,2060.82,2037.0600000000002,,"2023-01-18",2.640000,,101
143.24,24,61.92,Tiramisu Affogato,3437.76,3375.84,,"2023-01-18",2.580000,,102
156.45,20,42.40,Classic Garlic Bread,3129.0,3086.6,,"2023-01-18",2.120000,,103
190.93,33,62.37,Classic Affogato,6300.69,6238.32,,"2023-01-18",1.890000,,104
233.45,13,50.44,Honey Cinnamon Coffee,3034.85,2984.41,,"2023-01-18",3.880000,,105
148.51,38,54.34,White Mocha,5643.38,5589.04,,"2023-01-18",1.430000,,106
251.37,20,87.00,Gooey Fudgy Brownie Sundae,5027.4,4940.4,,"2023-01-18",4.350000,,107
210.85,11,31.13,Red Velvet Cake,2319.35,2288.22,,"2023-01-18",2.830000,,108
163.93,16,51.04,Berry Vanilla Croissant Sundae,2622.88,2571.84,,"2023-01-18",3.190000,,109
175.70,22,33.66,Irish Latte,3865.4,3831.7400000000002,,"2023-01-18",1.530000,,110
104.69,62,58.90,Spicy Mango Slush,6490.78,6431.88,,"2023-01-18",0.950000,,111
248.19,15,58.35,Vanilla Cappuccino Regular,3722.85,3664.5,,"2023-01-18",3.890000,,112
248.19,9,35.01,Vanilla Cappuccino Regular,2233.71,2198.7,,"2023-01-18",3.890000,,113
147.64,24,49.44,Irish Cappuccino,3543.36,3493.92,,"2023-01-18",2.060000,,114
182.49,8,28.08,Flat White,1459.92,1431.8400000000001,,"2023-01-18",3.510000,,115
147.59,11,25.96,Soya Cappuccino King,1623.49,1597.53,,"2023-01-18",2.360000,,116
206.17,31,81.84,Smoked Chicken Sandwich,6391.27,6309.43,,"2023-01-19",2.640000,,117
195.26,11,31.24,Adrak Wali Chai,2147.86,2116.6200000000003,,"2023-01-19",2.840000,,118
145.80,23,44.62,Hazelnut Latte,3353.4,3308.78,,"2023-01-19",1.940000,,119
99.79,11,10.01,Cappuccino Regular,1097.69,1087.68,,"2023-01-19",0.910000,,120
195.26,8,22.72,Adrak Wali Chai,1562.08,1539.36,,"2023-01-19",2.840000,,121
99.79,73,66.43,Cappuccino Regular,7284.67,7218.24,,"2023-01-19",0.910000,,122
89.48,66,242.88,Hazelnut Affogato,5905.68,5662.8,,"2023-01-19",3.680000,,123
156.45,13,27.56,Classic Garlic Bread,2033.85,2006.29,,"2023-01-19",2.120000,,124
233.45,14,54.32,Honey Cinnamon Coffee,3268.3,3213.98,,"2023-01-19",3.880000,,125
115.23,13,52.52,Vietnamese Iced Coffee,1497.99,1445.47,,"2023-01-19",4.040000,,126
185.05,24,98.64,Croissant,4441.2,4342.5599999999995,,"2023-01-19",4.110000,,127
125.37,33,75.24,Death By Chocolate Sundae,4137.21,4061.9700000000003,,"2023-01-19",2.280000,,128
245.97,18,52.56,Vanilla Latte Regular,4427.46,4374.9,,"2023-01-19",2.920000,,129
182.12,19,78.47,Irish Coffee,3460.28,3381.8100000000004,,"2023-01-19",4.130000,,130
147.59,11,25.96,Soya Cappuccino King,1623.49,1597.53,,"2023-01-19",2.360000,,131
210.85,25,70.75,Red Velvet Cake,5271.25,5200.5,,"2023-01-19",2.830000,,132
233.02,6,27.78,Filter Coffee,1398.12,1370.34,,"2023-01-19",4.630000,,133
182.49,28,98.28,Flat White,5109.72,5011.4400000000005,,"2023-01-19",3.510000,,134
182.12,16,66.08,Irish Coffee,2913.92,2847.84,,"2023-01-20",4.130000,,135
179.99,22,66.44,Smoked Chicken N Mozzarella Toastizza,3959.78,3893.34,,"2023-01-20",3.020000,,136
